"TIME","GEO","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Total","From 20 to 24 years","Number","27,213,605.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 25 to 29 years","Number","29,017,999.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 30 to 34 years","Number","30,707,309.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 35 to 39 years","Number","32,030,777.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 40 to 44 years","Number","33,491,063.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 45 to 49 years","Number","32,511,785.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 50 to 54 years","Number","30,753,267.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 55 to 59 years","Number","28,681,972.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 60 to 64 years","Number","25,606,750.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 65 to 69 years","Number","21,368,955.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 70 to 74 years","Number","19,637,057.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 75 to 79 years","Number","15,993,740.0",""
"2010","European Union - 27 countries (from 2020)","Total","75 years or over","Number","36,674,404.0",""
"2010","European Union - 27 countries (from 2020)","Total","From 80 to 84 years","Number","11,581,764.0",""
"2010","European Union - 27 countries (from 2020)","Total","80 years or over","Number","20,680,664.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 20 to 24 years","Number","13,841,882.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 25 to 29 years","Number","14,671,196.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 30 to 34 years","Number","15,530,136.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 35 to 39 years","Number","16,173,625.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 40 to 44 years","Number","16,886,650.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 45 to 49 years","Number","16,264,597.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 50 to 54 years","Number","15,204,713.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 55 to 59 years","Number","13,978,956.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 60 to 64 years","Number","12,306,556.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 65 to 69 years","Number","10,001,700.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 70 to 74 years","Number","8,750,434.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 75 to 79 years","Number","6,628,834.0",""
"2010","European Union - 27 countries (from 2020)","Males","75 years or over","Number","13,544,964.0",""
"2010","European Union - 27 countries (from 2020)","Males","From 80 to 84 years","Number","4,262,954.0",""
"2010","European Union - 27 countries (from 2020)","Males","80 years or over","Number","6,916,130.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 20 to 24 years","Number","13,371,723.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 25 to 29 years","Number","14,346,803.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 30 to 34 years","Number","15,177,173.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 35 to 39 years","Number","15,857,152.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 40 to 44 years","Number","16,604,413.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 45 to 49 years","Number","16,247,188.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 50 to 54 years","Number","15,548,554.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 55 to 59 years","Number","14,703,016.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 60 to 64 years","Number","13,300,194.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 65 to 69 years","Number","11,367,255.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 70 to 74 years","Number","10,886,623.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 75 to 79 years","Number","9,364,906.0",""
"2010","European Union - 27 countries (from 2020)","Females","75 years or over","Number","23,129,440.0",""
"2010","European Union - 27 countries (from 2020)","Females","From 80 to 84 years","Number","7,318,810.0",""
"2010","European Union - 27 countries (from 2020)","Females","80 years or over","Number","13,764,534.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 20 to 24 years","Number","31,388,181.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 25 to 29 years","Number","33,280,303.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 30 to 34 years","Number","34,710,290.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 35 to 39 years","Number","36,372,573.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 40 to 44 years","Number","38,166,306.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 45 to 49 years","Number","37,055,194.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 50 to 54 years","Number","34,710,547.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 55 to 59 years","Number","32,285,855.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 60 to 64 years","Number","29,361,043.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 65 to 69 years","Number","24,264,702.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 70 to 74 years","Number","22,091,499.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 75 to 79 years","Number","17,985,826.0",""
"2010","European Union - 28 countries (2013-2020)","Total","75 years or over","Number","41,491,542.0",""
"2010","European Union - 28 countries (2013-2020)","Total","From 80 to 84 years","Number","13,050,613.0",""
"2010","European Union - 28 countries (2013-2020)","Total","80 years or over","Number","23,505,716.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 20 to 24 years","Number","15,930,141.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 25 to 29 years","Number","16,792,085.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 30 to 34 years","Number","17,531,856.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 35 to 39 years","Number","18,325,737.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 40 to 44 years","Number","19,200,987.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 45 to 49 years","Number","18,511,770.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 50 to 54 years","Number","17,168,510.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 55 to 59 years","Number","15,758,309.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 60 to 64 years","Number","14,149,640.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 65 to 69 years","Number","11,402,554.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 70 to 74 years","Number","9,907,204.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 75 to 79 years","Number","7,517,258.0",""
"2010","European Union - 28 countries (2013-2020)","Males","75 years or over","Number","15,459,019.0",""
"2010","European Union - 28 countries (2013-2020)","Males","From 80 to 84 years","Number","4,858,527.0",""
"2010","European Union - 28 countries (2013-2020)","Males","80 years or over","Number","7,941,761.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 20 to 24 years","Number","15,458,040.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 25 to 29 years","Number","16,488,218.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 30 to 34 years","Number","17,178,434.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 35 to 39 years","Number","18,046,836.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 40 to 44 years","Number","18,965,319.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 45 to 49 years","Number","18,543,424.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 50 to 54 years","Number","17,542,037.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 55 to 59 years","Number","16,527,546.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 60 to 64 years","Number","15,211,403.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 65 to 69 years","Number","12,862,148.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 70 to 74 years","Number","12,184,295.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 75 to 79 years","Number","10,468,568.0",""
"2010","European Union - 28 countries (2013-2020)","Females","75 years or over","Number","26,032,523.0",""
"2010","European Union - 28 countries (2013-2020)","Females","From 80 to 84 years","Number","8,192,086.0",""
"2010","European Union - 28 countries (2013-2020)","Females","80 years or over","Number","15,563,955.0",""
"2010","European Union - 27 countries (2007-2013)","Total","From 20 to 24 years","Number","31,119,934.0",""
"2010","European Union - 27 countries (2007-2013)","Total","From 25 to 29 years","Number","32,985,740.0",""
"2010","European Union - 27 countries (2007-2013)","Total","From 30 to 34 years","Number","34,417,928.0",""
"2010","European Union - 27 countries (2007-2013)","Total","From 35 to 39 years","Number","36,090,782.0",""
"2010","European Union - 27 countries (2007-2013)","Total","From 40 to 44 years","Number","37,867,515.0",""
"2010","European Union - 27 countries (2007-2013)","Total","From 45 to 49 years","Number","36,743,297.0",""
