Data,n_doses_booster
2021-11-08T00:00:00Z,388000
2021-11-12T00:00:00Z,450000
2021-11-14T00:00:00Z,525000
2021-11-16T00:00:00Z,548000
2021-11-21T00:00:00Z,750000
2021-11-23T00:00:00Z,800000
2021-11-25T00:00:00Z,900000
2021-11-26T00:00:00Z,1000000
2021-11-27T00:00:00Z,1100000
2021-11-29T00:00:00Z,1161527
2021-11-30T00:00:00Z,1220663
2021-12-01T00:00:00Z,1282171
2021-12-02T00:00:00Z,1345576
2021-12-03T00:00:00Z,1411271
2021-12-04T00:00:00Z,1467352
2021-12-05T00:00:00Z,1530075
2021-12-06T00:00:00Z,1602356
2021-12-07T00:00:00Z,1660791
2021-12-08T00:00:00Z,1722665
2021-12-09T00:00:00Z,1792187
2021-12-10T00:00:00Z,1856693
2021-12-11T00:00:00Z,1917881
2021-12-12T00:00:00Z,1982281
2021-12-13T00:00:00Z,2051976
2021-12-14T00:00:00Z,2104320
2021-12-15T00:00:00Z,2156094
2021-12-16T00:00:00Z,2201089
2021-12-17T00:00:00Z,2252422
2021-12-18T00:00:00Z,2322698
2021-12-19T00:00:00Z,2324495
2021-12-20T00:00:00Z,2393088
2021-12-21T00:00:00Z,2469544
2021-12-22T00:00:00Z,2542362
2021-12-23T00:00:00Z,2542362
2021-12-24T00:00:00Z,2568716
2021-12-25T00:00:00Z,0
2021-12-26T00:00:00Z,0
2021-12-27T00:00:00Z,0
2021-12-28T00:00:00Z,2643162
2021-12-29T00:00:00Z,2729270
2021-12-30T00:00:00Z,2818260
2021-12-31T00:00:00Z,2869878
2022-01-01T00:00:00Z,0
2022-01-02T00:00:00Z,0
2022-01-03T00:00:00Z,2951409
2022-01-04T00:00:00Z,3030384
2022-01-05T00:00:00Z,3109134
2022-01-06T00:00:00Z,3196519
