date,total_vaccinations_acores,people_vaccinated_acores,people_fully_vaccinated_acores
2021-03-17T00:00:00Z,35825,23431,12394
2021-03-30T00:00:00Z,43812,28376,15436
2021-04-06T00:00:00Z,51756,34832,16924
2021-04-07T00:00:00Z,NA,NA,NA
2021-04-08T00:00:00Z,56725,39003,17722
2021-04-09T00:00:00Z,NA,NA,NA
2021-04-10T00:00:00Z,NA,NA,NA
2021-04-11T00:00:00Z,NA,NA,NA
2021-04-12T00:00:00Z,NA,NA,NA
2021-04-13T00:00:00Z,NA,NA,NA
2021-04-14T00:00:00Z,NA,NA,NA
2021-04-15T00:00:00Z,66557,46165,20392
2021-04-16T00:00:00Z,NA,NA,NA
2021-04-17T00:00:00Z,NA,NA,NA
2021-04-18T00:00:00Z,NA,NA,NA
2021-04-19T00:00:00Z,NA,NA,NA
2021-04-20T00:00:00Z,NA,NA,NA
2021-04-21T00:00:00Z,69887,49477,20410
2021-04-22T00:00:00Z,NA,NA,NA
2021-04-23T00:00:00Z,NA,NA,NA
2021-04-24T00:00:00Z,NA,NA,NA
2021-04-25T00:00:00Z,NA,NA,NA
2021-04-26T00:00:00Z,NA,NA,NA
2021-04-27T00:00:00Z,NA,NA,NA
2021-04-28T00:00:00Z,NA,NA,NA
2021-04-29T00:00:00Z,79589,56419,23170
2021-04-30T00:00:00Z,NA,NA,NA
2021-05-01T00:00:00Z,NA,NA,NA
2021-05-02T00:00:00Z,NA,NA,NA
2021-05-03T00:00:00Z,NA,NA,NA
2021-05-04T00:00:00Z,86796,59336,27460
2021-05-05T00:00:00Z,NA,NA,NA
2021-05-06T00:00:00Z,87077,59347,27730
2021-05-07T00:00:00Z,NA,NA,NA
2021-05-08T00:00:00Z,NA,NA,NA
2021-05-09T00:00:00Z,NA,NA,NA
2021-05-10T00:00:00Z,NA,NA,NA
2021-05-11T00:00:00Z,91769,60493,31276
2021-05-12T00:00:00Z,NA,NA,NA
2021-05-13T00:00:00Z,91979,60703,31276
2021-05-14T00:00:00Z,NA,NA,NA
2021-05-15T00:00:00Z,NA,NA,NA
2021-05-16T00:00:00Z,NA,NA,NA
2021-05-17T00:00:00Z,NA,NA,NA
2021-05-18T00:00:00Z,100505,66505,34000
2021-05-19T00:00:00Z,NA,NA,NA
2021-05-20T00:00:00Z,106631,68353,38278
2021-05-21T00:00:00Z,NA,NA,NA
2021-05-22T00:00:00Z,NA,NA,NA
2021-05-23T00:00:00Z,NA,NA,NA
2021-05-24T00:00:00Z,NA,NA,NA
2021-05-25T00:00:00Z,NA,NA,NA
2021-05-26T00:00:00Z,NA,NA,NA
2021-05-27T00:00:00Z,NA,NA,NA
2021-05-28T00:00:00Z,126130,79832,46298
2021-05-29T00:00:00Z,NA,NA,NA
2021-05-30T00:00:00Z,NA,NA,NA
2021-05-31T00:00:00Z,NA,NA,NA
2021-06-01T00:00:00Z,NA,NA,NA
2021-06-02T00:00:00Z,NA,NA,NA
2021-06-03T00:00:00Z,NA,NA,NA
2021-06-04T00:00:00Z,146999,92036,54963
2021-06-05T00:00:00Z,NA,NA,NA
2021-06-06T00:00:00Z,NA,NA,NA
2021-06-07T00:00:00Z,NA,NA,NA
2021-06-08T00:00:00Z,NA,NA,NA
2021-06-09T00:00:00Z,NA,NA,NA
2021-06-10T00:00:00Z,NA,NA,NA
2021-06-11T00:00:00Z,NA,NA,NA
2021-06-12T00:00:00Z,NA,NA,NA
2021-06-13T00:00:00Z,NA,NA,NA
2021-06-14T00:00:00Z,170906,101900,69006
2021-06-15T00:00:00Z,NA,NA,NA
2021-06-16T00:00:00Z,NA,NA,NA
2021-06-17T00:00:00Z,187119,109258,77861
2021-06-18T00:00:00Z,NA,NA,NA
2021-06-19T00:00:00Z,NA,NA,NA
2021-06-20T00:00:00Z,NA,NA,NA
2021-06-21T00:00:00Z,NA,NA,NA
2021-06-22T00:00:00Z,NA,NA,NA
2021-06-23T00:00:00Z,204508,114502,90006
2021-06-24T00:00:00Z,NA,NA,NA
2021-06-25T00:00:00Z,NA,NA,NA
2021-06-26T00:00:00Z,NA,NA,NA
2021-06-27T00:00:00Z,NA,NA,NA
2021-06-28T00:00:00Z,NA,NA,NA
2021-06-29T00:00:00Z,NA,NA,NA
2021-06-30T00:00:00Z,224012,124738,99274
