location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw
Portugal,PRT,2020-12-28T00:00:00Z,4828,4828,NA,NA
Portugal,PRT,2020-12-29T00:00:00Z,16701,16701,NA,11873
Portugal,PRT,2020-12-30T00:00:00Z,26850,26850,NA,10149
Portugal,PRT,2020-12-31T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-01T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-02T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-03T00:00:00Z,32000,32000,NA,NA
Portugal,PRT,2021-01-04T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-05T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-06T00:00:00Z,42035,42035,NA,NA
Portugal,PRT,2021-01-07T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-08T00:00:00Z,70000,70000,NA,NA
Portugal,PRT,2021-01-09T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-10T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-11T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-12T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-13T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-14T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-15T00:00:00Z,106000,106000,NA,NA
Portugal,PRT,2021-01-16T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-17T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-18T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-19T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-20T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-21T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-22T00:00:00Z,212000,NA,NA,NA
Portugal,PRT,2021-01-23T00:00:00Z,232725,NA,NA,20725
Portugal,PRT,2021-01-24T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-25T00:00:00Z,NA,NA,NA,NA
Portugal,PRT,2021-01-26T00:00:00Z,263499,225499,38000,NA
Portugal,PRT,2021-01-27T00:00:00Z,278413,NA,NA,14914
Portugal,PRT,2021-01-28T00:00:00Z,296004,NA,NA,17591
Portugal,PRT,2021-01-29T00:00:00Z,315737,NA,NA,19733
Portugal,PRT,2021-01-30T00:00:00Z,330233,NA,NA,14496
Portugal,PRT,2021-01-31T00:00:00Z,336771,268386,68385,6538
Portugal,PRT,2021-02-01T00:00:00Z,338566,269814,68755,1795
Portugal,PRT,2021-02-02T00:00:00Z,342119,271424,70695,3553
Portugal,PRT,2021-02-03T00:00:00Z,350945,275093,75852,8826
